wallet,loss,wallet_share,loss_share
W7d2a59b3eb69,-174.88613413692292,0.14697406340057637,0.9908440061968944
Wbe3173990acb,-174.00690189998568,0.14769452449567724,0.9908976990880255
Wdc254e402761,-171.89136388819315,0.1484149855907781,0.9909507391926813
W6b7c3f70ba7d,-171.7580165296315,0.14913544668587897,0.9910037381506636
W7f4918cd6c4b,-171.65885443702166,0.14985590778097982,0.9910567065104374
W2f88c9349fcf,-168.8141717998842,0.1505763688760807,0.9911087970933331
Wfe7a6af4b209,-168.056355741557,0.15129682997118155,0.9911606538387506
Wde849f7eba34,-166.8710542202854,0.15201729106628242,0.9912121448385292
W76b669718b16,-166.75510779036506,0.15273775216138327,0.9912636000609966
W20f1c451de61,-166.38934376612815,0.15345821325648415,0.991314942420539
W2d2d61c4b93f,-165.81936206062892,0.15417867435158503,0.9913661089021977
Wa2051fc2b19e,-165.49570469303185,0.15489913544668588,0.991417175513681
W72f1f8f30dd2,-162.59315747778334,0.15561959654178675,0.9914673464931525
W3b8545979bd2,-161.94874776299764,0.1563400576368876,0.9915173186286684
W594390e9abfb,-161.46001288204025,0.15706051873198848,0.9915671399564379
Wc70a2673f107,-161.3641685881321,0.15778097982708933,0.9916169317097641
W81bd5fd47fa7,-158.88480359864622,0.1585014409221902,0.9916659584113998
W376a94a7d982,-156.8608506305122,0.15922190201729106,0.9917143605867369
W0addaa2d142a,-156.18070598348757,0.15994236311239193,0.9917625528914765
W3d42a80ef692,-155.18223264857806,0.16066282420749278,0.9918104370997011
W2cdda6581963,-154.5893662099454,0.16138328530259366,0.9918581383685549
W77514706c688,-152.8865476300016,0.16210374639769454,0.9919053142027757
W2d80c46b8355,-152.63254439186895,0.1628242074927954,0.9919524116598283
W13047ac6f971,-152.51770955540178,0.16354466858789626,0.9919994736825718
W76b935ef39e3,-149.91315844503293,0.1642651296829971,0.9920457320252446
W60f62eb9acff,-148.53930582636582,0.164985590778098,0.9920915664415196
W3ea1e21b6798,-147.43286140733244,0.16570605187319884,0.9921370594449019
W3d309c94c6f7,-147.40480823650432,0.16642651296829972,0.9921825437919848
W9d697fb6fd07,-147.0465705240549,0.16714697406340057,0.9922279175985186
W09b8444130f8,-145.8318411260356,0.16786743515850144,0.9922729165789241
Wda7e446ccf7c,-143.8821154534744,0.1685878962536023,0.9923173139371692
W34cd9a75c315,-143.0431746595486,0.16930835734870317,0.9923614524254715
