section,item,variant,value,lo,hi,level,n,b,seed,p1_reference,p1_source,matches_p1
f5_bp_map,ETH 60-75 7-30d,p1|notional,2.8796789309432675,,,,8490.0,0,,,,
f5_bp_map,ETH 75-90 7-30d,p1|notional,7.586593992360491,,,,4476.0,0,,,,
f5_bp_map,ETH 90-100 7-30d,p1|notional,3.876094451147941,,,,1780.0,0,,,,
f5_bp_map,ETH 00-10 30-90d,p1|notional,0.6882536059457569,,,,7613.0,0,,,,
f5_bp_map,ETH 10-25 30-90d,p1|notional,0.7042260769024086,,,,14115.0,0,,,,
f5_bp_map,ETH 25-40 30-90d,p1|notional,1.5509352907624194,,,,14262.0,0,,,,
f5_bp_map,ETH 40-60 30-90d,p1|notional,3.323583571224298,,,,15597.0,0,,,,
f5_bp_map,ETH 60-75 30-90d,p1|notional,5.801369505060125,,,,4182.0,0,,,,
f5_bp_map,ETH 75-90 30-90d,p1|notional,1.5764483429204013,,,,1989.0,0,,,,
f5_bp_map,ETH 90-100 30-90d,p1|notional,1.652226455221365,,,,698.0,0,,,,
f5_bp_map,ETH 00-10 >90d,p1|notional,0.5794211241835955,,,,2507.0,0,,,,
f5_bp_map,ETH 10-25 >90d,p1|notional,2.000649727778574,,,,3508.0,0,,,,
f5_bp_map,ETH 25-40 >90d,p1|notional,2.6982578673727584,,,,3964.0,0,,,,
f5_bp_map,ETH 40-60 >90d,p1|notional,7.826272597315445,,,,5138.0,0,,,,
f5_bp_map,ETH 60-75 >90d,p1|notional,7.489710611124023,,,,2455.0,0,,,,
f5_bp_map,ETH 75-90 >90d,p1|notional,1.9611470851687849,,,,1042.0,0,,,,
f5_bp_map,ETH 90-100 >90d,p1|notional,-21.402304491780875,,,,325.0,0,,,,
f5_bp_map,HYPE 00-10 <=2d,p1|notional,0.208002317301079,,,,649.0,0,,,,
f5_bp_map,HYPE 10-25 <=2d,p1|notional,0.1665352684291783,,,,1369.0,0,,,,
f5_bp_map,HYPE 25-40 <=2d,p1|notional,0.3353500647009343,,,,1526.0,0,,,,
f5_bp_map,HYPE 40-60 <=2d,p1|notional,0.2999263927237525,,,,1636.0,0,,,,
f5_bp_map,HYPE 60-75 <=2d,p1|notional,0.3611012827926172,,,,526.0,0,,,,
f5_bp_map,HYPE 75-90 <=2d,p1|notional,-0.0006749791247753,,,,472.0,0,,,,
f5_bp_map,HYPE 90-100 <=2d,p1|notional,0.0997591182947718,,,,277.0,0,,,,
f5_bp_map,HYPE 00-10 2-7d,p1|notional,0.0478565639182564,,,,535.0,0,,,,
f5_bp_map,HYPE 10-25 2-7d,p1|notional,0.0921528195278471,,,,1968.0,0,,,,
f5_bp_map,HYPE 25-40 2-7d,p1|notional,0.2612359957552907,,,,2146.0,0,,,,
f5_bp_map,HYPE 40-60 2-7d,p1|notional,0.175613491580836,,,,2500.0,0,,,,
f5_bp_map,HYPE 60-75 2-7d,p1|notional,0.4894827607763753,,,,827.0,0,,,,
f5_bp_map,HYPE 75-90 2-7d,p1|notional,0.5780265797869205,,,,327.0,0,,,,
f5_bp_map,HYPE 90-100 2-7d,p1|notional,,,,,171.0,0,,,,
f5_bp_map,HYPE 00-10 7-30d,p1|notional,0.0854045734816313,,,,1099.0,0,,,,
f5_bp_map,HYPE 10-25 7-30d,p1|notional,0.2637689381993841,,,,4581.0,0,,,,
f5_bp_map,HYPE 25-40 7-30d,p1|notional,0.2982885202600492,,,,5006.0,0,,,,
f5_bp_map,HYPE 40-60 7-30d,p1|notional,0.3125956194509782,,,,4229.0,0,,,,
f5_bp_map,HYPE 60-75 7-30d,p1|notional,0.2450962424008867,,,,1265.0,0,,,,
f5_bp_map,HYPE 75-90 7-30d,p1|notional,0.2702122681462927,,,,989.0,0,,,,
f5_bp_map,HYPE 90-100 7-30d,p1|notional,,,,,184.0,0,,,,
f5_bp_map,HYPE 00-10 30-90d,p1|notional,0.1308571404680157,,,,543.0,0,,,,
f5_bp_map,HYPE 10-25 30-90d,p1|notional,0.2040478416465809,,,,2516.0,0,,,,
f5_bp_map,HYPE 25-40 30-90d,p1|notional,0.2529162538020553,,,,2051.0,0,,,,
f5_bp_map,HYPE 40-60 30-90d,p1|notional,0.4892491932311003,,,,2170.0,0,,,,
f5_bp_map,HYPE 60-75 30-90d,p1|notional,0.2524624115011874,,,,372.0,0,,,,
f5_bp_map,HYPE 75-90 30-90d,p1|notional,0.0979685916379605,,,,279.0,0,,,,
f5_bp_map,HYPE 90-100 30-90d,p1|notional,,,,,50.0,0,,,,
f5_bp_map,HYPE 00-10 >90d,p1|notional,0.5353878328064229,,,,291.0,0,,,,
f5_bp_map,HYPE 10-25 >90d,p1|notional,0.3020723513451114,,,,1116.0,0,,,,
f5_bp_map,HYPE 25-40 >90d,p1|notional,0.1446469362053018,,,,1006.0,0,,,,
f5_bp_map,HYPE 40-60 >90d,p1|notional,0.2601378519055186,,,,867.0,0,,,,
f5_bp_map,HYPE 60-75 >90d,p1|notional,0.5240370957490276,,,,353.0,0,,,,
f5_bp_map,HYPE 75-90 >90d,p1|notional,,,,,89.0,0,,,,
f5_bp_map,HYPE 90-100 >90d,p1|notional,,,,,29.0,0,,,,
f5_bp_map,BTC 00-10 <=2d,p1|index,1.0758012921771651,,,,10967.0,0,,,,
f5_bp_map,BTC 10-25 <=2d,p1|index,0.920841143623113,,,,11520.0,0,,,,
f5_bp_map,BTC 25-40 <=2d,p1|index,2.3163174232551698,,,,8251.0,0,,,,
f5_bp_map,BTC 40-60 <=2d,p1|index,2.7828639389050815,,,,8902.0,0,,,,
f5_bp_map,BTC 60-75 <=2d,p1|index,1.98590985632951,,,,2551.0,0,,,,
