currency,delta_bucket,tenor_bucket,fills,mean,lo,hi,p,positive,negative,fee_unit
BTC,75-90,30-90d,621,133.94719396711028,33.93707431165228,271.01609540750434,0.0773,True,False,per_contract
BTC,75-90,7-30d,1741,84.38386680758015,-18.954422406993604,219.18579185900165,0.392,False,False,per_contract
BTC,75-90,<=2d,1761,52.39843519882147,-8.777232379231256,154.88216969182938,0.3792,False,False,per_contract
BTC,90-100,2-7d,645,120.2225375179427,14.379307220055194,270.00804419062007,0.1799,True,False,per_contract
BTC,90-100,7-30d,600,77.63785264119578,-27.89031594068646,226.5457604255875,0.4023,False,False,per_contract
BTC,90-100,<=2d,1580,148.62867506013382,40.77282485289644,297.05282395475444,0.0915,True,False,per_contract
ETH,00-10,2-7d,21704,0.4748560017369971,0.3407696192297496,0.5966574787704991,0.0001,True,False,per_contract
ETH,00-10,30-90d,7613,1.4503749537697197,1.0350151118769255,1.879489637056351,0.0001,True,False,per_contract
ETH,00-10,7-30d,19018,0.7245073685789717,0.4024445108606668,1.09742420290163,0.0001,True,False,per_contract
ETH,00-10,<=2d,27314,0.4887145179845167,0.3597724015704661,0.6108732870993665,0.0001,True,False,per_contract
ETH,00-10,>90d,2507,3.772941928385244,2.086123415323992,5.7586836775182935,0.0001,True,False,per_contract
ETH,10-25,2-7d,23054,0.5192332551163749,0.2590818943409462,0.7800954629952913,0.0018,True,False,per_contract
ETH,10-25,30-90d,14115,1.269411278511516,0.6991128788751747,1.8667701425477732,0.0006,True,False,per_contract
ETH,10-25,7-30d,26979,0.707970114276959,0.310403355231347,1.129124419901796,0.0087,True,False,per_contract
ETH,10-25,<=2d,30094,0.4729054950924374,0.1840701080264923,0.760308742639697,0.0155,True,False,per_contract
ETH,10-25,>90d,3508,5.998018344306023,3.4214767135879316,8.845908706759765,0.0001,True,False,per_contract
ETH,25-40,2-7d,17030,0.6803385167272228,0.0309617001510386,1.4798180020372789,0.2545,True,False,per_contract
ETH,25-40,30-90d,14262,1.9764697877372823,0.843014158873517,3.3125843739192797,0.0266,True,False,per_contract
ETH,25-40,7-30d,24042,1.014568512109574,0.0719028370026879,2.0877965746548575,0.1886,True,False,per_contract
ETH,25-40,<=2d,22647,0.7218426819678652,0.1510121061307237,1.3623714629140042,0.1037,True,False,per_contract
ETH,25-40,>90d,3964,8.52464983084585,5.198812943683677,12.354036962435968,0.0021,True,False,per_contract
ETH,40-60,2-7d,21434,1.1007270679906256,0.0532326426195136,2.551759566972973,0.3525,True,False,per_contract
ETH,40-60,30-90d,15597,3.1664107162090036,1.0913870341578535,5.779241521920298,0.0762,True,False,per_contract
ETH,40-60,7-30d,28868,1.2965476722426068,-0.2766118647181846,3.298109184913566,0.4474,False,False,per_contract
ETH,40-60,<=2d,23718,1.05325629360007,0.1992115053081409,2.098044726273645,0.153,True,False,per_contract
ETH,40-60,>90d,5138,12.35488752986758,6.609395636359492,18.653489019116787,0.0072,True,False,per_contract
ETH,60-75,2-7d,6345,1.5023311753471442,-0.2439156055097573,4.346697707623358,0.419,False,False,per_contract
ETH,60-75,30-90d,4182,5.280695864772034,1.9933866098361377,9.498460972327624,0.0596,True,False,per_contract
ETH,60-75,7-30d,8490,1.7403146122520026,-0.4282726365769598,5.103903879381586,0.4896,False,False,per_contract
ETH,60-75,<=2d,6626,1.7465801232284408,0.1823022942357449,4.074312393648591,0.2685,True,False,per_contract
ETH,60-75,>90d,2455,19.845006306457705,5.4115548449993565,36.650562052800574,0.0824,True,False,per_contract
ETH,75-90,2-7d,3851,4.437887855636744,1.2117112709348334,9.450744902850836,0.1609,True,False,per_contract
ETH,75-90,30-90d,1989,2.4777658460983645,-9.163712697672208,16.80257842971895,0.9521,False,False,per_contract
ETH,75-90,7-30d,4476,6.190503562282259,1.5915884485318372,13.014225268058578,0.1649,True,False,per_contract
ETH,75-90,<=2d,4518,3.0909476728830816,0.2774821907051432,7.511013853385005,0.2732,True,False,per_contract
ETH,75-90,>90d,1042,3.8663979038943586,-10.532612664605484,24.176961254791028,0.7375,False,False,per_contract
ETH,90-100,2-7d,1790,10.001405598654667,3.732236362686668,18.22357106592025,0.0498,True,False,per_contract
ETH,90-100,30-90d,698,4.497028369845919,-5.688393272578296,19.028381627401245,0.5563,False,False,per_contract
ETH,90-100,7-30d,1780,6.077929612426594,-1.098476488601548,14.655788567858878,0.2616,False,False,per_contract
ETH,90-100,<=2d,4077,3.355824528874676,-1.1010194139306246,9.67549415632042,0.3634,False,False,per_contract
ETH,90-100,>90d,325,-30.28296254744737,-77.26960963234855,9.844462547176532,0.2804,False,False,per_contract
HYPE,00-10,2-7d,535,0.0524040665924517,0.0345349601361371,0.0715855749211355,0.0001,True,False,per_contract
HYPE,00-10,30-90d,543,0.0623504080061319,0.002296620949985,0.1461699555001209,0.1407,True,False,per_contract
HYPE,00-10,7-30d,1099,0.0396627074872652,0.0255944104896467,0.054723160524789,0.0001,True,False,per_contract
HYPE,00-10,<=2d,649,0.0241715491019658,0.0104761412507447,0.0352976935783773,0.0132,True,False,per_contract
HYPE,00-10,>90d,291,0.2271622652427739,0.1037568500171145,0.3062058151233662,0.0014,True,False,per_contract
HYPE,10-25,2-7d,1968,0.0708027139553951,0.0402858189050989,0.0959317394780775,0.0001,True,False,per_contract
HYPE,10-25,30-90d,2516,0.0916520972627244,0.0669704597898732,0.1149704560702061,0.0001,True,False,per_contract
HYPE,10-25,7-30d,4581,0.0728477382651838,0.0429890089051419,0.1009279628803456,0.0003,True,False,per_contract
HYPE,10-25,<=2d,1369,-0.0015564457906567,-0.0289533563098581,0.0225915104329627,0.9413,False,False,per_contract
HYPE,10-25,>90d,1116,0.1340913628748214,0.0221207895694361,0.225566128004838,0.0979,True,False,per_contract
HYPE,25-40,2-7d,2146,0.1073671686143646,0.0442398741464076,0.1574929663695255,0.0013,True,False,per_contract
HYPE,25-40,30-90d,2051,0.1116831305051697,0.0851813308075808,0.1393045214140912,0.0001,True,False,per_contract
HYPE,25-40,7-30d,5006,0.1082304075115202,0.0623371436640933,0.1449005859812629,0.0001,True,False,per_contract
HYPE,25-40,<=2d,1526,0.0350508304702866,0.0152232189908177,0.0539570177983213,0.0041,True,False,per_contract
HYPE,25-40,>90d,1006,0.1824983672694906,0.0709107500568345,0.2892161947167037,0.0245,True,False,per_contract
HYPE,40-60,2-7d,2500,0.075809003645498,0.0235012302438097,0.1304656296990326,0.0298,True,False,per_contract
HYPE,40-60,30-90d,2170,0.1322237087426465,0.0675782626078794,0.2154330411555809,0.0001,True,False,per_contract
HYPE,40-60,7-30d,4229,0.0882876610690477,0.021355421220435,0.1506013080043065,0.0624,True,False,per_contract
HYPE,40-60,<=2d,1636,0.0242633595806077,0.002546006907954,0.0469723380462246,0.076,True,False,per_contract
HYPE,40-60,>90d,867,0.2443914879206585,0.1607304719186362,0.3397580138739725,0.0001,True,False,per_contract
HYPE,60-75,2-7d,827,0.080436159630977,0.0291964497076944,0.1231884751464948,0.0476,True,False,per_contract
HYPE,60-75,30-90d,372,0.0614416844167625,0.0009421034993487,0.1383334071841691,0.1424,True,False,per_contract
HYPE,60-75,7-30d,1265,0.1516761655145457,0.0252268815631528,0.2288444284601861,0.1834,True,False,per_contract
HYPE,60-75,<=2d,526,0.0147788592922778,-0.0777890031390766,0.1099893199975907,0.8053,False,False,per_contract
HYPE,60-75,>90d,353,0.4240598749770892,0.2071441519576405,0.6280311019290257,0.003,True,False,per_contract
HYPE,75-90,2-7d,327,0.0532977043608482,-0.0687688756154064,0.1744287928648843,0.4967,False,False,per_contract
HYPE,75-90,30-90d,279,0.1300086766827921,0.0100571038927456,0.2822186139325147,0.1099,True,False,per_contract
HYPE,75-90,7-30d,989,0.3311265926021682,0.1717517468673492,0.5303668950002574,0.0001,True,False,per_contract
HYPE,75-90,<=2d,472,-0.0335340047600165,-0.1051837531142395,0.0933807696813696,0.6117,False,False,per_contract
HYPE,90-100,<=2d,277,-0.0195528899042879,-0.2019136771140564,0.1959963521277667,0.8726,False,False,per_contract
